Processing Log
"Record 1 is found. | Ossuccio, IT: city id = 6534444"
"Record 2 is found. | Breitenworbis, DE: city id = 2944516"
"Record 3 is found. | Durango, MX: city id = 4011741"
"Record 4 is found. | Saint-Nicolas-des-Biefs, FR: city id = 2977878"
"Record 5 is found. | Vasilaţi, RO: city id = 663128"
"Record 6 is found. | Mula, ES: city id = 6359534"
"Record 7 is found. | Jijiga, ET: city id = 333795"
"Record 8 is found. | Beuren, DE: city id = 2949562"
"Record 9 is found. | Tagdanua, PH: city id = 1684454"
"Record 10 is found. | Muxagata, PT: city id = 2737233"
"Record 11 is found. | Werndorf, AT: city id = 2761474"
"Record 12 is found. | Saint-Pierre-du-Regard, FR: city id = 2977456"
"Record 13 is found. | Vodochody, CZ: city id = 3062640"
"Record 14 is found. | Saint-Romain-la-Virvée, FR: city id = 2977130"
"Record 15 is found. | Dosbarrios, ES: city id = 6361719"
"Record 16 is found. | Gajendragarh, IN: city id = 1271789"
"Record 17 is found. | Coulonges-les-Sablons, FR: city id = 3023224"
"Record 18 is found. | Pulau Sebang, MY: city id = 1749659"
"Record 19 is found. | Loreglia, IT: city id = 6535560"
"Record 20 is found. | Saint-Jacques, FR: city id = 2979422"
"Record 21 is found. | Kostrzyn nad Odrą, PL: city id = 3095057"
"Record 22 is found. | Couvin, BE: city id = 2800026"
"Record 23 is found. | La Ferté-Macé, FR: city id = 3009486"
"Record 24 is found. | Brylivka, UA: city id = 711435"
"Record 25 is found. | Cherkovitsa, BG: city id = 732591"
"Record 26 is found. | Greifenberg, DE: city id = 6556256"
"Record 27 is found. | Bech, LU: city id = 2960807"
"Record 28 is found. | Carl Junction, US: city id = 4380043"
"Record 29 is found. | Monrovia, US: city id = 5374175"
"Record 30 is found. | Sin-le-Noble, FR: city id = 6438498"
"Record 31 is found. | Malaya Okhta, RU: city id = 531483"
"Record 32 is found. | Induno Olona, IT: city id = 6537080"
"Record 33 is found. | Novokuznetsk, RU: city id = 1496990"
"Record 34 is found. | Shul'gina, RU: city id = 2018994"
"Record 35 is found. | Sonora, US: city id = 5397165"
"Record 36 is found. | Taskopa, KZ: city id = 608073"
"Record 37 is found. | Niederreißen, DE: city id = 6550266"
"Record 38 is found. | Unterkirnach, DE: city id = 2819248"
"Record 39 is found. | San-Martino-di-Lota, FR: city id = 2976186"
"Record 40 is found. | Viborillas, MX: city id = 3980308"
"Record 41 is found. | Kalamaria, GR: city id = 736083"
"Record 42 is found. | Lunna, SE: city id = 2693524"
"Record 43 is found. | Ḩayy al Quwaysimah, JO: city id = 250461"
"Record 44 is found. | Sulusaray, TR: city id = 300141"
"Record 45 is found. | Murat-le-Quaire, FR: city id = 6440106"
"Record 46 is found. | Natalia, US: city id = 4046430"
"Record 47 is found. | San Martín Hidalgo, MX: city id = 3985504"
"Record 48 is found. | Hospital de Órbigo, ES: city id = 3120621"
"Record 49 is found. | Ohnhorst, DE: city id = 2857613"
"Record 50 is found. | Sotteville, FR: city id = 2974154"
"Record 51 is found. | Saint-Donan, FR: city id = 6429127"
"Record 52 is found. | Laurens, US: city id = 4864265"
"Record 53 is found. | Marzano di Nola, IT: city id = 3173824"
"Record 54 is found. | Anoye, FR: city id = 6450370"
"Record 55 is found. | Kloten / Spitz, CH: city id = 6291253"
"Record 56 is found. | Conguaco, GT: city id = 3597966"
"Record 57 is found. | Villodrigo, ES: city id = 6360163"
"Record 58 is found. | Génave, ES: city id = 2517259"
"Record 59 is found. | Loretto, AT: city id = 2772255"
"Record 60 is found. | Uggdal, NO: city id = 3133425"
"Record 61 is found. | Yarebitsa, BG: city id = 725554"
"Record 62 is found. | Le Teich, FR: city id = 6455876"
"Record 63 is found. | Prath, DE: city id = 6554088"
"Record 64 is found. | Xiexiang, CN: city id = 7047778"
"Record 65 is found. | Lebanon South, US: city id = 7258847"
"Record 66 is found. | Quail Valley, US: city id = 5385346"
"Record 67 is found. | Skomlin, PL: city id = 3085771"
"Record 68 is found. | Niderviller, FR: city id = 2990425"
"Record 69 is found. | Laufenselden, DE: city id = 2880117"
"Record 70 is found. | Levashovo, RU: city id = 535544"
"Record 71 is found. | Torricella Verzate, IT: city id = 6534593"
"Record 72 is found. | Los Amaceyes, DO: city id = 3499450"
"Record 73 is found. | Saint-Cibard, FR: city id = 2981126"
"Record 74 is found. | Quezon, PH: city id = 1692214"
"Record 75 is found. | Cossombrato, IT: city id = 3177919"
"Record 76 is found. | Kościerzyna, PL: city id = 3095126"
